Download Winning Numbers from www.calottery.com on 7/20/2014 5:44:10 PM for MEGA MILLIONS

Draw #     Draw Date             Number_1    Number_2    Number_3    Number_4    Number_5     Mega
------  -----------------        --------    --------    --------    --------    --------    ------

947     Fri. Jul 18, 2014          5          8          59          65          72          3     
946     Tue. Jul 15, 2014          2          4          17          36          40          5     
945     Fri. Jul 11, 2014          9          13          30          35          69          10     
944     Tue. Jul 08, 2014          14          25          27          48          49          9     
943     Fri. Jul 04, 2014          16          33          39          58          69          2     
942     Tue. Jul 01, 2014          9          22          38          47          49          15     
941     Fri. Jun 27, 2014          15          29          31          46          64          10     
940     Tue. Jun 24, 2014          13          17          24          47          65          10     
939     Fri. Jun 20, 2014          1          22          25          29          56          3     
938     Tue. Jun 17, 2014          10          14          24          47          60          3     
937     Fri. Jun 13, 2014          7          38          46          49          56          1     
936     Tue. Jun 10, 2014          2          10          24          26          74          7     
935     Fri. Jun 06, 2014          12          29          37          49          72          9     
934     Tue. Jun 03, 2014          19          28          62          66          74          6     
933     Fri. May 30, 2014          10          13          42          43          62          2     
932     Tue. May 27, 2014          1          6          10          46          58          13     
931     Fri. May 23, 2014          12          14          21          38          70          15     
930     Tue. May 20, 2014          10          40          63          64          69          7     
929     Fri. May 16, 2014          13          14          16          50          56          11     
928     Tue. May 13, 2014          37          46          48          70          74          1     
927     Fri. May 09, 2014          10          28          39          51          59          14     
926     Tue. May 06, 2014          18          20          27          48          51          5     
925     Fri. May 02, 2014          1          18          26          35          40          13     
924     Tue. Apr 29, 2014          7          43          59          61          66          3     
923     Fri. Apr 25, 2014          3          11          18          20          66          9     
922     Tue. Apr 22, 2014          2          18          19          49          50          1     
921     Fri. Apr 18, 2014          18          25          38          45          63          9     
920     Tue. Apr 15, 2014          4          39          46          47          70          13     
919     Fri. Apr 11, 2014          3          42          44          47          57          8     
918     Tue. Apr 08, 2014          35          36          41          60          71          3     
917     Fri. Apr 04, 2014          1          10          15          41          54          9     
916     Tue. Apr 01, 2014          10          23          68          74          75          9     
915     Fri. Mar 28, 2014          2          3          9          50          73          12     
914     Tue. Mar 25, 2014          19          26          51          57          73          15     
913     Fri. Mar 21, 2014          2          23          30          35          53          10     
912     Tue. Mar 18, 2014          11          19          24          33          51          7     
911     Fri. Mar 14, 2014          7          20          40          54          69          12     
910     Tue. Mar 11, 2014          9          14          56          57          69          10     
909     Fri. Mar 07, 2014          11          13          51          57          69          1     
908     Tue. Mar 04, 2014          10          29          31          35          45          10     
907     Fri. Feb 28, 2014          3          31          50          58          59          6     
906     Tue. Feb 25, 2014          12          18          25          35          66          15     
905     Fri. Feb 21, 2014          23          29          32          45          46          15     
904     Tue. Feb 18, 2014          23          29          31          37          70          14     
903     Fri. Feb 14, 2014          20          28          35          71          72          7     
902     Tue. Feb 11, 2014          43          64          67          71          73          4     
901     Fri. Feb 07, 2014          11          21          23          35          64          10     
900     Tue. Feb 04, 2014          25          44          49          60          73          9     
899     Fri. Jan 31, 2014          3          9          13          47          52          8     
898     Tue. Jan 28, 2014          7          16          28          53          60          2     
897     Fri. Jan 24, 2014          22          45          46          47          65          10     
896     Tue. Jan 21, 2014          8          23          33          45          52          4     
895     Fri. Jan 17, 2014          1          10          26          31          51          11     
894     Tue. Jan 14, 2014          4          23          26          62          69          13     
893     Fri. Jan 10, 2014          8          28          36          37          57          8     
892     Tue. Jan 07, 2014          13          34          56          62          64          6     
891     Fri. Jan 03, 2014          22          24          25          40          70          5     
890     Tue. Dec 31, 2013          8          12          34          52          58          8     
889     Fri. Dec 27, 2013          4          15          35          48          49          11     
888     Tue. Dec 24, 2013          23          34          53          58          73          2     
887     Fri. Dec 20, 2013          3          4          31          49          57          6     
886     Tue. Dec 17, 2013          8          14          17          20          39          7     
885     Fri. Dec 13, 2013          19          24          26          27          70          12     
884     Tue. Dec 10, 2013          5          12          22          41          65          13     
883     Fri. Dec 06, 2013          11          29          44          63          64          3     
882     Tue. Dec 03, 2013          7          12          41          44          59          3     
881     Fri. Nov 29, 2013          9          41          43          47          57          5     
880     Tue. Nov 26, 2013          27          44          59          74          75          3     
879     Fri. Nov 22, 2013          17          23          35          36          44          8     
878     Tue. Nov 19, 2013          14          15          29          49          63          2     
877     Fri. Nov 15, 2013          25          44          49          54          63          8     
876     Tue. Nov 12, 2013          20          30          32          42          71          15     
875     Fri. Nov 08, 2013          41          42          51          57          65          7     
874     Tue. Nov 05, 2013          2          11          42          64          74          2     
873     Fri. Nov 01, 2013          32          35          49          62          67          1     
872     Tue. Oct 29, 2013          20          33          50          53          54          7     
871     Fri. Oct 25, 2013          6          16          45          54          60          15     
870     Tue. Oct 22, 2013          2          3          19          52          71          14     
869     Fri. Oct 18, 2013          5          20          45          48          56          1     
868     Tue. Oct 15, 2013          4          23          30          43          50          11     
867     Fri. Oct 11, 2013          3          27          37          45          48          46     
866     Tue. Oct 08, 2013          6          15          19          23          40          5     
865     Fri. Oct 04, 2013          4          16          24          25          44          5     
864     Tue. Oct 01, 2013          7          10          30          37          53          1     
863     Fri. Sep 27, 2013          9          23          27          49          51          38     
862     Tue. Sep 24, 2013          4          11          32          39          40          33     
861     Fri. Sep 20, 2013          1          15          20          21          47          34     
