Download Winning Numbers from www.calottery.com on 7/20/2014 5:43:56 PM for POWERBALL

Draw #      Draw Date           Number_1    Number_2    Number_3    Number_4    Number_5    Powerball
------  ------------------      --------    --------    --------    --------    --------    ---------

134     Sat. Jul 19, 2014          10          17          25          45          53          9     
133     Wed. Jul 16, 2014          5          15          18          26          32          35     
132     Sat. Jul 12, 2014          2          3          7          23          51          26     
131     Wed. Jul 09, 2014          9          25          42          55          57          14     
130     Sat. Jul 05, 2014          24          34          36          57          58          11     
129     Wed. Jul 02, 2014          8          18          45          53          58          35     
128     Sat. Jun 28, 2014          8          12          34          43          56          9     
127     Wed. Jun 25, 2014          10          20          25          50          53          35     
126     Sat. Jun 21, 2014          5          6          37          41          54          26     
125     Wed. Jun 18, 2014          6          9          29          52          59          7     
124     Sat. Jun 14, 2014          9          33          42          45          54          30     
123     Wed. Jun 11, 2014          14          18          25          33          49          23     
122     Sat. Jun 07, 2014          28          30          35          58          59          15     
121     Wed. Jun 04, 2014          1          7          10          22          49          24     
120     Sat. May 31, 2014          15          27          31          34          48          1     
119     Wed. May 28, 2014          2          24          28          32          59          25     
118     Sat. May 24, 2014          15          16          28          49          55          18     
117     Wed. May 21, 2014          4          20          34          39          58          31     
116     Sat. May 17, 2014          23          32          39          47          49          22     
115     Wed. May 14, 2014          7          33          39          52          55          33     
114     Sat. May 10, 2014          4          31          41          47          55          1     
113     Wed. May 07, 2014          17          29          31          48          49          34     
112     Sat. May 03, 2014          5          15          16          46          49          26     
111     Wed. Apr 30, 2014          2          9          11          19          50          32     
110     Sat. Apr 26, 2014          3          7          22          30          33          20     
109     Wed. Apr 23, 2014          19          25          29          36          48          12     
108     Sat. Apr 19, 2014          5          6          29          35          51          21     
107     Wed. Apr 16, 2014          34          39          42          44          59          8     
106     Sat. Apr 12, 2014          14          26          45          54          55          20     
105     Wed. Apr 09, 2014          9          14          44          48          49          29     
104     Sat. Apr 05, 2014          11          21          26          33          34          29     
